id,user_uuid,hour,age,weight,height,gender,at,rh,met,cl,hr,st,ati(-3-2),ati(0-5)
1,1b5d595c-1bb9-4f20-a78a-217958689877,21,19,74,170,1,25.33358,55.03636,1.192368839,0.54,74,31,0,3
2,1b5d595c-1bb9-4f20-a78a-217958689877,21,19,74,170,1,25.2573745,58.3366765,1.169438669,0.54,73,32,-1,2
3,1b5d595c-1bb9-4f20-a78a-217958689877,21,19,74,170,1,25.311282,59.00144,1.207590569,0.54,92,32,0,3
4,1b5d595c-1bb9-4f20-a78a-217958689877,22,19,74,170,1,25.334916,58.009603,1.113437381,0.54,72,32,-1,2
5,1b5d595c-1bb9-4f20-a78a-217958689877,22,19,74,170,1,25.333581,56.980052,1.184626185,0.54,77,32,-1,2
6,1b5d595c-1bb9-4f20-a78a-217958689877,22,19,74,170,1,25.1385505,55.5704215,1.146804373,0.54,77,33,1,4
7,1b5d595c-1bb9-4f20-a78a-217958689877,22,19,74,170,1,25.1385505,55.5704215,1.136650669,0.54,79,33,0,3
8,1b5d595c-1bb9-4f20-a78a-217958689877,22,19,74,170,1,25.1918955,54.5402515,1.184330398,0.54,79,33,1,4
9,1b5d595c-1bb9-4f20-a78a-217958689877,22,19,74,170,1,25.261325,53.424551,1.234368697,0.54,83,32,1,4
10,1b5d595c-1bb9-4f20-a78a-217958689877,23,19,74,170,1,25.218705,53.0346485,1.174277726,0.54,80,32,0,3
11,1b5d595c-1bb9-4f20-a78a-217958689877,23,19,74,170,1,25.1772165,53.51791,1.18174855,0.54,73,32,-1,2
12,1b5d595c-1bb9-4f20-a78a-217958689877,23,19,74,170,1,25.132626,52.5148465,1.190701191,0.54,76,33,0,3
13,1b5d595c-1bb9-4f20-a78a-217958689877,23,19,74,170,1,24.8402255,51.927384,1.108615318,0.54,74,33,1,4
14,1b5d595c-1bb9-4f20-a78a-217958689877,21,19,74,170,1,27.493837,56.5722335,1.216216216,0.54,70,33,-1,2
15,1b5d595c-1bb9-4f20-a78a-217958689877,21,19,74,170,1,27.2658585,55.8604025,1.220283829,0.54,82,33,1,4
16,1b5d595c-1bb9-4f20-a78a-217958689877,21,19,74,170,1,27.1234955,56.042713,1.140202703,0.54,85,33,0,3
17,1b5d595c-1bb9-4f20-a78a-217958689877,21,19,74,170,1,27.025754,55.5366025,1.126995722,0.54,72,33,0,3
18,1b5d595c-1bb9-4f20-a78a-217958689877,21,19,74,170,1,26.97779,56.122406,1.190181007,0.54,69,33,1,4
19,1b5d595c-1bb9-4f20-a78a-217958689877,22,19,74,170,1,27.003585,57.644508,1.121582678,0.54,75,33,0,3
20,1b5d595c-1bb9-4f20-a78a-217958689877,22,19,74,170,1,27.079135,58.056423,1.141574788,0.54,70,33,1,4
21,1b5d595c-1bb9-4f20-a78a-217958689877,22,19,74,170,1,27.063081,57.2764775,1.182945864,0.54,89,33,0,3
22,1b5d595c-1bb9-4f20-a78a-217958689877,22,19,74,170,1,27.0788,57.7474435,1.158301158,0.54,71,33,-1,2
23,1b5d595c-1bb9-4f20-a78a-217958689877,22,19,74,170,1,27.057805,57.7736985,1.15506568,0.54,77,33,1,4
24,1b5d595c-1bb9-4f20-a78a-217958689877,22,19,74,170,1,27.100042,57.6500935,1.235219595,0.54,78,34,0,3
25,1b5d595c-1bb9-4f20-a78a-217958689877,23,19,74,170,1,27.281264,59.8044985,1.10231077,0.54,78,34,0,3
26,1b5d595c-1bb9-4f20-a78a-217958689877,23,19,74,170,1,27.4536885,60.963718,1.150474799,0.54,81,33,0,3
27,1b5d595c-1bb9-4f20-a78a-217958689877,19,19,74,170,1,29.8827135,54.955048,1.196979053,0.54,89,32,0,3
28,1b5d595c-1bb9-4f20-a78a-217958689877,20,19,74,170,1,26.6031465,54.8335955,1.182432432,0.54,90,32,0,3
29,1b5d595c-1bb9-4f20-a78a-217958689877,20,19,74,170,1,27.013771,59.710685,1.265949965,0.54,82,32,0,3
30,1b5d595c-1bb9-4f20-a78a-217958689877,20,19,74,170,1,27.218237,60.414875,1.154374714,0.54,80,32,0,3
31,1b5d595c-1bb9-4f20-a78a-217958689877,20,19,74,170,1,27.172043,60.3770925,1.090165796,0.54,85,32,0,3
32,1b5d595c-1bb9-4f20-a78a-217958689877,21,19,74,170,1,27.2947135,61.801855,1.216216216,0.54,86,32,0,3
33,1b5d595c-1bb9-4f20-a78a-217958689877,21,19,74,170,1,27.455414,62.985673,1.129343629,0.54,80,32,0,3
34,1b5d595c-1bb9-4f20-a78a-217958689877,21,19,74,170,1,27.7383665,64.0955505,1.154073782,0.54,87,32,1,4
35,1b5d595c-1bb9-4f20-a78a-217958689877,21,19,74,170,1,27.901252,64.441825,1.176983435,0.54,78,32,0,3
36,1b5d595c-1bb9-4f20-a78a-217958689877,21,19,74,170,1,27.901252,64.441825,1.158301158,0.54,71,32,1,4
37,1b5d595c-1bb9-4f20-a78a-217958689877,21,19,74,170,1,27.9266255,64.534175,1.164462335,0.54,76,32,0,3
38,1b5d595c-1bb9-4f20-a78a-217958689877,22,19,74,170,1,27.968009,65.142767,1.131363922,0.54,75,32,0,3
39,1b5d595c-1bb9-4f20-a78a-217958689877,22,19,74,170,1,28.0009915,63.8409075,1.158301158,0.54,75,32,0,3
40,1b5d595c-1bb9-4f20-a78a-217958689877,22,19,74,170,1,27.844059,59.8524305,1.178101178,0.54,72,31,0,3
41,1b5d595c-1bb9-4f20-a78a-217958689877,22,19,74,170,1,27.7044715,58.3099325,1.183345508,0.54,76,31,0,3
